timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1657205984008,29,/cgi-bin/welcome.pl?signOff=true,200,OK,UC_03 3-28,text,true,,1025,804,11,12,http://localhost:1080/cgi-bin/welcome.pl?signOff=true,27,0,0
1657205984037,77,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-28,text,true,,1755,845,11,12,http://localhost:1080/cgi-bin/nav.pl?in=home,75,0,0
1657205984114,47,/WebTours/home.html,200,OK,UC_03 3-28,text,true,,1659,841,11,12,http://localhost:1080/WebTours/home.html,47,0,0
1657205984161,1,/Webtours/header.html,200,OK,UC_03 3-28,text,true,,1007,821,11,12,http://localhost:1080/Webtours/header.html,1,0,0
1657205984003,159,Start_Page,200,"Number of samples in transaction : 5, number of failing samples : 0",UC_03 3-28,,true,,6110,4109,11,12,null,152,0,1
1657205984638,29,/cgi-bin/welcome.pl?signOff=1,200,OK,UC_03 3-29,text,true,,1025,1018,11,12,http://localhost:1080/cgi-bin/welcome.pl?signOff=1,27,0,0
1657205984676,68,/cgi-bin/nav.pl?in=home,200,OK,UC_03 3-29,text,true,,1755,799,11,12,http://localhost:1080/cgi-bin/nav.pl?in=home,67,0,0
1657205984748,43,/WebTours/home.html,304,Not Modified,UC_03 3-29,,true,,193,306,11,12,http://localhost:1080/WebTours/home.html,0,0,0
1657205981078,3713,Logout,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03 3-29,,true,,2973,2123,11,12,null,94,0,0
1657205977159,7632,UC_03,200,"Number of samples in transaction : 13, number of failing samples : 0",UC_03 3-29,,true,,12924,9254,11,12,null,342,0,0
1657205987078,28,/cgi-bin/welcome.pl?page=search,200,OK,UC_02 2-10,text,true,,843,1016,1,12,http://localhost:1080/cgi-bin/welcome.pl?page=search,27,0,0
1657205987107,75,/cgi-bin/nav.pl?page=menu&in=flights,200,OK,UC_02 2-10,text,true,,1749,999,1,12,http://localhost:1080/cgi-bin/nav.pl?in=flights&page=menu,73,0,0
1657205987188,78,/cgi-bin/reservations.pl?page=welcome,200,OK,UC_02 2-10,text,true,,4520,1000,1,12,http://localhost:1080/cgi-bin/reservations.pl?page=welcome,77,0,0
